x1,x2,x3,t
-7.022608,-8.315288,23.209880,5.060000
-7.157966,-8.571335,23.189851,5.070000
-7.305042,-8.831922,23.200568,5.080000
-7.463069,-9.095258,23.243211,5.090000
-7.631168,-9.359294,23.318818,5.100000
-7.808338,-9.621710,23.428233,5.110000
-7.993437,-9.879904,23.572057,5.120000
-8.185173,-10.130995,23.750585,5.130000
-8.382087,-10.371836,23.963744,5.140000
-8.582550,-10.599037,24.211020,5.150000
-8.784752,-10.809014,24.491393,5.160000
-8.986711,-10.998046,24.803270,5.170000
-9.186274,-11.162357,25.144425,5.180000
-9.381135,-11.298216,25.511960,5.190000
-9.568860,-11.402056,25.902269,5.200000
-9.746919,-11.470605,26.311046,5.210000
-9.912733,-11.501028,26.733303,5.220000
-10.063725,-11.491073,27.163439,5.230000
-10.197382,-11.439208,27.595330,5.240000
-10.311326,-11.344742,28.022467,5.250000
-10.403382,-11.207927,28.438122,5.260000
-10.471656,-11.030012,28.835536,5.270000
-10.514602,-10.813262,29.208135,5.280000
-10.531083,-10.560927,29.549738,5.290000
-10.520427,-10.277158,29.854768,5.300000
-10.482456,-9.966880,30.118434,5.310000
-10.417511,-9.635617,30.336881,5.320000
-10.326447,-9.289302,30.507291,5.330000
-10.210611,-8.934055,30.627944,5.340000
-10.071808,-8.575971,30.698214,5.350000
-9.912239,-8.220918,30.718524,5.360000
-9.734436,-7.874358,30.690255,5.370000
-9.541186,-7.541203,30.615623,5.380000
-9.335446,-7.225715,30.497530,5.390000
-9.120263,-6.931438,30.339411,5.400000
-8.898696,-6.661180,30.145076,5.410000
-8.673744,-6.417025,29.918560,5.420000
-8.448287,-6.200378,29.663993,5.430000
-8.225033,-6.012028,29.385491,5.440000
-8.006482,-5.852228,29.087062,5.450000
-7.794896,-5.720783,28.772542,5.460000
-7.592287,-5.617140,28.445552,5.470000
-7.400408,-5.540473,28.109468,5.480000
-7.220757,-5.489764,27.767414,5.490000
-7.054587,-5.463872,27.422261,5.500000
-6.902918,-5.461594,27.076640,5.510000
-6.766559,-5.481714,26.732961,5.520000
-6.646125,-5.523040,26.393436,5.530000
-6.542065,-5.584434,26.060101,5.540000
-6.454676,-5.664828,25.734846,5.550000
-6.384134,-5.763240,25.419440,5.560000
-6.330504,-5.878771,25.115552,5.570000
-6.293768,-6.010606,24.824777,5.580000
-6.273831,-6.158006,24.548658,5.590000
-6.270544,-6.320292,24.288699,5.600000
-6.283707,-6.496833,24.046387,5.610000
-6.313083,-6.687022,23.823202,5.620000
-6.358399,-6.890259,23.620627,5.630000
-6.419348,-7.105919,23.440156,5.640000
-6.495595,-7.333330,23.283298,5.650000
-6.586765,-7.571742,23.151577,5.660000
-6.692445,-7.820296,23.046525,5.670000
-6.812172,-8.077993,22.969677,5.680000
-6.945424,-8.343661,22.922552,5.690000
-7.091608,-8.615923,22.906632,5.700000
-7.250045,-8.893165,22.923339,5.710000
-7.419953,-9.173507,22.973990,5.720000
-7.600434,-9.454775,23.059762,5.730000
-7.790452,-9.734489,23.181632,5.740000
-7.988818,-10.009841,23.340320,5.750000
-8.194174,-10.277702,23.536220,5.760000
-8.404977,-10.534629,23.769322,5.770000
-8.619492,-10.776899,24.039137,5.780000
-8.835779,-11.000551,24.344609,5.790000
-9.051700,-11.201458,24.684047,5.800000
-9.264921,-11.375420,25.055045,5.810000
-9.472935,-11.518278,25.454437,5.820000
-9.673082,-11.626050,25.878256,5.830000
-9.862591,-11.695088,26.321736,5.840000
-10.038632,-11.722239,26.779337,5.850000
-10.198375,-11.705018,27.244821,5.860000
-10.339060,-11.641772,27.711363,5.870000
-10.458081,-11.531814,28.171709,5.880000
-10.553063,-11.375542,28.618370,5.890000
-10.621952,-11.174499,29.043855,5.900000
-10.663094,-10.931389,29.440910,5.910000
-10.675300,-10.650031,29.802772,5.920000
-10.657912,-10.335249,30.123404,5.930000
-10.610832,-9.992718,30.397706,5.940000
-10.534548,-9.628751,30.621675,5.950000
-10.430121,-9.250061,30.792516,5.960000
-10.299160,-8.863512,30.908688,5.970000
-10.143771,-8.475864,30.969887,5.980000
-9.966488,-8.093546,30.976975,5.990000
-9.770192,-7.722457,30.931860,6.000000
-9.558020,-7.367815,30.837336,6.010000
